date	nbVocabs
2011-03-04	72
2011-03-05	72
2011-03-06	72
2011-03-07	72
2011-03-08	72
2011-03-09	72
2011-03-10	72
2011-03-11	72
2011-03-12	72
2011-03-13	72
2011-03-14	84
2011-03-15	84
2011-03-16	84
2011-03-17	84
2011-03-18	84
2011-03-19	84
2011-03-20	84
2011-03-21	84
2011-03-22	84
2011-03-23	84
2011-03-24	84
2011-03-25	84
2011-03-26	93
2011-03-27	93
2011-03-28	94
2011-03-29	95
2011-03-30	95
2011-03-31	95
2011-04-01	95
2011-04-02	95
2011-04-03	95
2011-04-04	95
2011-04-05	97
2011-04-06	97
2011-04-07	97
2011-04-08	97
2011-04-09	97
2011-04-10	97
2011-04-11	98
2011-04-12	98
2011-04-13	100
2011-04-14	101
2011-04-15	101
2011-04-16	102
2011-04-17	102
2011-04-18	102
2011-04-19	102
2011-04-20	102
2011-04-21	102
2011-04-22	102
2011-04-23	102
2011-04-24	102
2011-04-25	102
2011-04-26	102
2011-04-27	102
2011-04-28	102
2011-04-29	102
2011-04-30	102
2011-05-01	102
2011-05-02	102
2011-05-03	103
2011-05-04	103
2011-05-05	104
2011-05-06	104
2011-05-07	104
2011-05-08	104
2011-05-09	104
2011-05-10	104
2011-05-11	104
2011-05-12	104
2011-05-13	106
2011-05-14	106
2011-05-15	106
2011-05-16	106
2011-05-17	109
2011-05-18	109
2011-05-19	110
2011-05-20	110
2011-05-21	110
2011-05-22	110
2011-05-23	111
2011-05-24	111
2011-05-25	113
2011-05-26	115
2011-05-27	117
2011-05-28	117
2011-05-29	117
2011-05-30	117
2011-05-31	117
2011-06-01	117
2011-06-02	117
2011-06-03	117
2011-06-04	117
2011-06-05	117
2011-06-06	118
2011-06-07	118
2011-06-08	118
2011-06-09	118
2011-06-10	118
2011-06-11	118
2011-06-12	118
2011-06-13	118
2011-06-14	118
2011-06-15	118
2011-06-16	118
2011-06-17	118
2011-06-18	118
2011-06-19	118
2011-06-20	118
2011-06-21	118
2011-06-22	118
2011-06-23	118
2011-06-24	118
2011-06-25	118
2011-06-26	118
2011-06-27	118
2011-06-28	118
2011-06-29	118
2011-06-30	118
2011-07-01	119
2011-07-02	119
2011-07-03	119
2011-07-04	119
2011-07-05	119
2011-07-06	121
2011-07-07	122
2011-07-08	122
2011-07-09	122
2011-07-10	122
2011-07-11	122
2011-07-12	122
2011-07-13	122
2011-07-14	122
2011-07-15	122
2011-07-16	122
2011-07-17	122
2011-07-18	122
2011-07-19	122
2011-07-20	122
2011-07-21	127
2011-07-22	127
2011-07-23	127
2011-07-24	127
2011-07-25	127
2011-07-26	127
2011-07-27	127
2011-07-28	127
2011-07-29	129
2011-07-30	129
2011-07-31	129
2011-08-01	130
2011-08-02	130
2011-08-03	130
2011-08-04	130
2011-08-05	130
2011-08-06	130
2011-08-07	130
2011-08-08	130
2011-08-09	130
2011-08-10	130
2011-08-11	130
2011-08-12	130
2011-08-13	130
2011-08-14	130
2011-08-15	130
2011-08-16	130
2011-08-17	130
2011-08-18	130
2011-08-19	130
2011-08-20	130
2011-08-21	130
2011-08-22	130
2011-08-23	130
2011-08-24	130
2011-08-25	130
2011-08-26	130
2011-08-27	130
2011-08-28	130
2011-08-29	130
2011-08-30	130
2011-08-31	130
2011-09-01	130
2011-09-02	130
2011-09-03	130
2011-09-04	130
2011-09-05	130
2011-09-06	130
2011-09-07	130
2011-09-08	132
2011-09-09	135
2011-09-10	135
2011-09-11	135
2011-09-12	135
2011-09-13	135
2011-09-14	135
2011-09-15	137
2011-09-16	137
2011-09-17	137
2011-09-18	137
2011-09-19	139
2011-09-20	139
2011-09-21	139
2011-09-22	139
2011-09-23	139
2011-09-24	139
2011-09-25	139
2011-09-26	139
2011-09-27	139
2011-09-28	139
2011-09-29	139
2011-09-30	141
2011-10-01	141
2011-10-02	141
2011-10-03	141
2011-10-04	141
2011-10-05	141
2011-10-06	141
2011-10-07	141
2011-10-08	141
2011-10-09	141
2011-10-10	141
2011-10-11	141
2011-10-12	141
2011-10-13	141
2011-10-14	141
2011-10-15	141
2011-10-16	141
2011-10-17	141
2011-10-18	144
2011-10-19	145
2011-10-20	145
2011-10-21	145
2011-10-22	145
2011-10-23	145
2011-10-24	146
2011-10-25	149
2011-10-26	158
2011-10-27	158
2011-10-28	158
2011-10-29	158
2011-10-30	158
2011-10-31	158
2011-11-01	158
2011-11-02	158
2011-11-03	158
2011-11-04	158
2011-11-05	158
2011-11-06	158
2011-11-07	158
2011-11-08	158
2011-11-09	158
2011-11-10	158
2011-11-11	158
2011-11-12	158
2011-11-13	158
2011-11-14	158
2011-11-15	159
2011-11-16	159
2011-11-17	160
2011-11-18	160
2011-11-19	160
2011-11-20	160
2011-11-21	160
2011-11-22	160
2011-11-23	160
2011-11-24	160
2011-11-25	160
2011-11-26	160
2011-11-27	160
2011-11-28	160
2011-11-29	160
2011-11-30	160
2011-12-01	160
2011-12-02	160
2011-12-03	160
2011-12-04	160
2011-12-05	160
2011-12-06	160
2011-12-07	160
2011-12-08	162
2011-12-09	162
2011-12-10	162
2011-12-11	162
2011-12-12	162
2011-12-13	162
2011-12-14	162
2011-12-15	162
2011-12-16	162
2011-12-17	162
2011-12-18	162
2011-12-19	162
2011-12-20	162
2011-12-21	162
2011-12-22	162
2011-12-23	162
2011-12-24	162
2011-12-25	162
2011-12-26	162
2011-12-27	162
2011-12-28	163
2011-12-29	164
2011-12-30	167
2011-12-31	167
2012-01-01	167
2012-01-02	167
2012-01-03	168
2012-01-04	169
2012-01-05	169
2012-01-06	171
2012-01-07	171
2012-01-08	171
2012-01-09	174
2012-01-10	174
2012-01-11	176
2012-01-12	176
2012-01-13	177
2012-01-14	178
2012-01-15	178
2012-01-16	178
2012-01-17	178
2012-01-18	178
2012-01-19	178
2012-01-20	178
2012-01-21	178
2012-01-22	178
2012-01-23	178
2012-01-24	178
2012-01-25	178
2012-01-26	178
2012-01-27	178
2012-01-28	178
2012-01-29	178
2012-01-30	178
2012-01-31	178
2012-02-01	178
2012-02-02	178
2012-02-03	178
2012-02-04	178
2012-02-05	178
2012-02-06	178
2012-02-07	178
2012-02-08	178
2012-02-09	178
2012-02-10	178
2012-02-11	178
2012-02-12	178
2012-02-13	178
2012-02-14	178
2012-02-15	178
2012-02-16	178
2012-02-17	178
2012-02-18	178
2012-02-19	178
2012-02-20	178
2012-02-21	178
2012-02-22	178
2012-02-23	178
2012-02-24	178
2012-02-25	178
2012-02-26	178
2012-02-27	178
2012-02-28	178
2012-02-29	178
2012-03-01	178
2012-03-02	178
2012-03-03	178
2012-03-04	178
2012-03-05	178
2012-03-06	178
2012-03-07	178
2012-03-08	178
2012-03-09	178
2012-03-10	178
2012-03-11	178
2012-03-12	178
2012-03-13	178
2012-03-14	178
2012-03-15	178
2012-03-16	178
2012-03-17	178
2012-03-18	178
2012-03-19	178
2012-03-20	236
2012-03-21	244
2012-03-22	245
2012-03-23	245
2012-03-24	245
2012-03-25	245
2012-03-26	245
2012-03-27	245
2012-03-28	245
2012-03-29	245
2012-03-30	245
2012-03-31	245
2012-04-01	245
2012-04-02	245
2012-04-03	245
2012-04-04	245
2012-04-05	246
2012-04-06	246
2012-04-07	246
2012-04-08	246
2012-04-09	246
2012-04-10	247
2012-04-11	249
2012-04-12	250
2012-04-13	249
2012-04-14	249
2012-04-15	249
2012-04-16	249
2012-04-17	251
2012-04-18	252
2012-04-19	253
2012-04-20	253
2012-04-21	253
2012-04-22	253
2012-04-23	255
2012-04-24	256
2012-04-25	257
2012-04-26	257
2012-04-27	257
2012-04-28	257
2012-04-29	257
2012-04-30	257
2012-05-01	257
2012-05-02	257
2012-05-03	257
2012-05-04	261
2012-05-05	261
2012-05-06	262
2012-05-07	262
2012-05-08	262
2012-05-09	262
2012-05-10	262
2012-05-11	262
2012-05-12	262
2012-05-13	262
2012-05-14	262
2012-05-15	262
2012-05-16	262
2012-05-17	262
2012-05-18	262
2012-05-19	262
2012-05-20	262
2012-05-21	262
2012-05-22	262
2012-05-23	262
2012-05-24	263
2012-05-25	263
2012-05-26	263
2012-05-27	263
2012-05-28	263
2012-05-29	263
2012-05-30	263
2012-05-31	263
2012-06-01	263
2012-06-02	263
2012-06-03	263
2012-06-04	263
2012-06-05	263
2012-06-06	263
2012-06-07	263
2012-06-08	263
2012-06-09	263
2012-06-10	263
2012-06-11	263
2012-06-12	263
2012-06-13	263
2012-06-14	263
2012-06-15	263
2012-06-16	263
2012-06-17	263
2012-06-18	263
2012-06-19	263
2012-06-20	263
2012-06-21	265
2012-06-22	265
2012-06-23	265
2012-06-24	265
2012-06-25	266
2012-06-26	266
2012-06-27	266
2012-06-28	266
2012-06-29	266
2012-06-30	266
2012-07-01	266
2012-07-02	266
2012-07-03	266
2012-07-04	266
2012-07-05	266
2012-07-06	266
2012-07-07	266
2012-07-08	266
2012-07-09	266
2012-07-10	266
2012-07-11	267
2012-07-12	268
2012-07-13	271
2012-07-14	271
2012-07-15	271
2012-07-16	271
2012-07-17	271
2012-07-18	271
2012-07-19	271
2012-07-20	272
2012-07-21	272
2012-07-22	272
2012-07-23	272
2012-07-24	273
2012-07-25	273
2012-07-26	273
2012-07-27	273
2012-07-28	273
2012-07-29	273
2012-07-30	273
2012-07-31	273
2012-08-01	273
2012-08-02	273
2012-08-03	273
2012-08-04	273
2012-08-05	273
2012-08-06	273
2012-08-07	273
2012-08-08	273
2012-08-09	273
2012-08-10	275
2012-08-11	275
2012-08-12	275
2012-08-13	275
2012-08-14	275
2012-08-15	277
2012-08-16	278
2012-08-17	279
2012-08-18	279
2012-08-19	279
2012-08-20	279
2012-08-21	279
2012-08-22	279
2012-08-23	279
2012-08-24	279
2012-08-25	279
2012-08-26	279
2012-08-27	279
2012-08-28	279
2012-08-29	279
